Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	contig N50 (bp)	scaffold N50 (bp)
Antrozous pallidus	pallid bat	9440	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Antrozous	HLantPal1	GCA_007922775.1	13442	13958
Aonyx cinereus	Asian small-clawed otter	452597	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Aonyx	HLaonCin1	DNA Zoo Consortium	68934	130942447
Aotus nancymaae	Mas night monkey	37293	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Aotidae; Aotus	aotNan1	GCF_000952055.2	126456	8268663
Aplodontia rufa	mountain beaver	51342	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Aplodontiidae; Aplodontia	HLaplRuf1	GCA_004027875.1	33245	37811
Apodemus sylvaticus	European woodmouse	10129	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Apodemus; Sylvaemus group	HLapoSyl1	GCA_001305905.1	1208	245982
Arctocephalus gazella	antarctic fur seal	37190	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Arctocephalus	HLarcGaz2	GCA_900642305.1	537425	139181869
Artibeus jamaicensis	Jamaican fruit-eating bat	9417	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartJam1	GCA_004027435.1	32365	35347
Artibeus jamaicensis	Jamaican fruit-eating bat	9417	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartJam2	GCA_014825515.1	374929	2589479
Arvicanthis niloticus	African grass rat	61156	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Arvicanthis	HLarvNil1	GCA_011762505.1	11143170	82689117
Arvicanthis niloticus	African grass rat	61156	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Arvicanthis	HLarvNil1B	GCA_011750645.1	8920743	80178650
Arvicola amphibius	Eurasian water mole	1047088	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Arvicola	HLarvAmp1	GCA_903992535.1	5392280	138658583
Ateles geoffroyi	black-handed spider monkey	9509	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateGeo1	GCA_004024785.1	59033	73111
Axis porcinus	Hog deer	57737	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Axis	HLaxiPor1	GCA_003798545.1	172761	20764858
Babyrousa celebensis	North Sulawesi babirusa	1303000	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Suidae; Babyrousa	HLbabCel1	DNA Zoo Consortium	52115	112896847
Balaena mysticetus	bowhead whale	27602	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Balaena	HLbalMys1	http://alfred.liv.ac.uk/downloads/bowhead_whale/bowhead_whale_scaffolds.zip	33808	876686
Balaenoptera acutorostrata scammoni	minke whale	310752	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera; Balaenoptera acutorostrata	balAcu1	GCF_000493695.1	22690	12843668
Balaenoptera bonaerensis	Antarctic minke whale	33556	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalBon1	GCA_000978805.1	8410	20082
Balaenoptera edeni	pygmy Bryde's whale	9769	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalEde1	DNA Zoo Consortium	70721	99560599
Balaenoptera musculus	Blue whale	9771	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalMus1	GCA_009873245.1	5963936	110470125
Balaenoptera musculus	Blue whale	9771	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalMus2	GCF_009873245.2	6315640	110314666
Balaenoptera musculus	Blue whale	9771	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalMus2B	GCA_008658375.2	275582	275582
Balaenoptera musculus	Blue whale	9771	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalMus3	CNGB Sequence Archive	94743	8279331
Balaenoptera physalus	Fin whale	9770	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalPhy1	GCA_008795845.1	4493	871016
Bassariscus astutus	ringtail	55047	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Bassariscus	HLbasAst1	DNA Zoo Consortium	39652	101529512
Bassariscus sumichrasti	Cacomistle	392507	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Bassariscus	HLbasSum1	DNA Zoo Consortium	44551	125116104
Beatragus hunteri	Hirola	59527	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Beatragus	HLbeaHun1	GCA_004027495.1	57444	69303
Bison bison bison	American bison	43346	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison; Bison bison	HLbisBisBis2	DNA Zoo Consortium	18165	101686351
Bison bison bison	American bison	43346	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison; Bison bison	bisBis1	GCF_000754665.1	19971	7192658
Bos frontalis	gayal	30520	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosFro1	GCA_007844835.1	28709	1003348
Bos gaurus	gaur	9904	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosGau1	GCA_014182915.1	13340585	104471907
Bos grunniens	domestic yak	30521	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosGru1	GCA_005887515.2	44716738	114386978
Bos indicus	zebu cattle	9915	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosInd2	GCA_002933975.1	64498	104295553
Bos mutus	wild yak	72004	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosMut2	GCA_007646595.3	90625	16589160
Bos taurus	cattle	9913	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	bosTau9	GCF_002263795.1	25896116	103308737
Bubalus bubalis	water buffalo	89462	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bubalus	HLbubBub2	GCA_003121395.1	22441509	117219835
Callithrix jacchus	white-tufted-ear marmoset	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	HLcalJac4	GCA_011100555.1	13255626	136971485
Callithrix pygmaea	pygmy marmoset	9493	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Cebuella	HLcalPym1	DNA Zoo Consortium	56835	118608034
Callorhinus ursinus	northern fur seal	34884	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Callorhinus	HLcalUrs1	GCA_003265705.1	133024	31506801
Camelus bactrianus	Bactrian camel	9837	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamBac1	GCA_000767855.1	139019	8812066
Camelus dromedarius	Arabian camel	9838	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamDro2	GCA_000803125.3	236391	70369702
Camelus ferus	Wild Bactrian camel	419612	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamFer3	GCA_009834535.1	5365398	76025729
Canis lupus dingo	dingo	286419	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	HLcanLupDin1	GCA_003254725.1	5390770	34446301
Canis lupus familiaris	dog	9615	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	canFam4	GCA_011100685.1	14840767	64299765
Canis lupus familiaris	dog	9615	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	canFam5	GCA_005444595.1	4722218	64204256
Capra aegagrus	wild goat	9923	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapAeg1	GCA_000765075.1	51868	1750063
Capra hircus	goat	9925	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapHir2	GCA_001704415.1	26244591	87277232
Capra ibex	Alpine ibex	72542	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapIbe1	GCA_006410555.1	380983	61905114
Capra sibirica	Siberian ibex	72544	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapSib1	GCA_003182615.2	376582	15190720
Capreolus pygargus	Eastern roe deer	48560	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Capreolus	HLcapPyg1	GCA_012922965.1	80310	6067221
Carlito syrichta	Philippine tarsier	1868482	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Tarsiiformes; Tarsiidae; Carlito	tarSyr2	GCF_000164805.1	38165	401181
Carollia perspicillata	Seba's short-tailed bat	40233	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Carolliinae; Carollia	HLcarPer3	GCA_004027735.1	10341	10739
Castor canadensis	American beaver	51338	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor	HLcasCan3	DNA Zoo Consortium	266367	136673807
Catagonus wagneri	Chacoan peccary	51154	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Tayassuidae; Catagonus	HLcatWag1	GCA_004024745.2	65965	19204659
Cavia aperea	Brazilian guinea pig	37548	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	cavApe1	GCA_000688575.1	1039	27928671
Cavia porcellus	domestic guinea pig	10141	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	cavPor3	GCF_000151735.1	80583	27942054
Cavia tschudii	Montane guinea pig	143287	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	HLcavTsc1	GCA_004027695.1	64807	91436
Cebus albifrons	white-fronted capuchin	9514	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus	HLcebAlb1	GCA_004027755.1	25652	31156
Cebus capucinus imitator	white-faced sapajou	1737458	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus; Cebus capucinus	cebCap1	GCF_001604975.1	41196	5274112
Cephalophus harveyi	Harvey's duiker	129224	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Cephalophus	HLcepHar1	GCA_006410635.1	61368	365466
Cephalorhynchus commersonii	Commerson's dolphin	103582	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Cephalorhynchus	HLcepCom1	DNA Zoo Consortium	91726	104003720
Ceratotherium simum cottoni	northern white rhinoceros	310713	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum	HLcerSimCot1	GCA_004027795.1	21199	23005
Ceratotherium simum cottoni	northern white rhinoceros	310713	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum	HLcerSimCot2	GCA_021442165.1	16022912	65935509
Ceratotherium simum simum	southern white rhinoceros	73337	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum	cerSim1	GCF_000283155.1	92960	26277727
Cercocebus atys	sooty mangabey	9531	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercocebus	cerAty1	GCF_000955945.1	112942	12849131
Cercopithecus mona	Mona monkey	36226	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus	HLcerMon1	GCA_014849445.1	22791723	22791723
Cercopithecus neglectus	De Brazza's monkey	36227	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus	HLcerNeg1	GCA_004027615.1	9789	10270
Cervus elaphus hippelaphus	red deer	46360	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus; Cervus elaphus	HLcerEla1	GCA_002197005.1	7944	107358006
Cervus hanglu yarkandensis	Yarkand deer	84702	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus; Cervus hanglu	HLcerHanYar1	GCA_010411085.1	268660	77688133
Cheirogaleus medius	Lesser dwarf lemur	9460	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Cheirogaleus	HLcheMed1	GCA_008086735.1	34905	48318266
Chinchilla lanigera	long-tailed chinchilla	34839	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Chinchillidae; Chinchilla	chiLan1	GCF_000276665.1	61105	21893125
Chlorocebus sabaeus	green monkey	60711	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Chlorocebus	chlSab2	GCF_000409795.2	90449	81825804
Choloepus didactylus	southern two-toed sloth	27675	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	HLchoDid1	GCA_004027855.1	7167	7289
Choloepus didactylus	southern two-toed sloth	27675	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	HLchoDid2	GCF_015220235.1	20994632	146178362
Choloepus hoffmanni	Hoffmann's two-fingered sloth	9358	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	HLchoHof3	DNA Zoo Consortium	62424	140950122
Chrysochloris asiatica	Cape golden mole	185453	Mammalia; Theria; Eutheria; Afrotheria; Chrysochloridae; Chrysochlorinae; Chrysochloris	chrAsi1	GCF_000296735.1	19631	13470186
Chrysocyon brachyurus	maned wolf	68728	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Chrysocyon	HLchrBra1	DNA Zoo Consortium	90967	60785871
Coendou prehensilis	Brazilian porcupine	187985	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Coendou	HLcoePre1	DNA Zoo Consortium	32321	42412415
Colobus angolensis palliatus	Angolan colobus	336983	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Colobus; Colobus angolensis	colAng1	GCF_000951035.1	38363	7840981
Condylura cristata	star-nosed mole	143302	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Condylura	conCri1	GCF_000260355.1	46163	55520359
Connochaetes taurinus	brindled gnu	9927	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Connochaetes	HLconTau2	DNA Zoo Consortium	68346	98098359
Craseonycteris thonglongyai	hog-nosed bat	208972	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Craseonycteridae; Craseonycteris	HLcraTho1	GCA_004027555.1	23218	25762
Cricetomys gambianus	Gambian giant pouched rat	10085	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Nesomyidae; Cricetomyinae; Cricetomys	HLcriGam1	GCA_004027575.1	80761	110049
Cricetulus griseus	Chinese hamster	10029	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Cricetulus	HLcriGri3	GCA_003668045.1	2098530	19581774
Crocuta crocuta	spotted hyena	9678	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Crocuta	HLcroCro1	GCA_008692635.1	97873	7236831
Crocuta crocuta	spotted hyena	9678	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Crocuta	HLcroCro2	DNA Zoo Consortium	60238	101812163
Cryptoprocta ferox	fossa	94188	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Eupleridae; Euplerinae; Cryptoprocta	HLcryFer2	DNA Zoo Consortium	123817	107277967
Ctenodactylus gundi	northern gundi	10166	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenodactylidae; Ctenodactylus	HLcteGun1	GCA_004027205.1	218543	354548
Ctenomys sociabilis	social tuco-tuco	43321	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenomyidae; Ctenomys	HLcteSoc1	GCA_004027165.1	37562	49073
Cynomys gunnisoni	Gunnison's prairie dog	45479	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Cynomys	HLcynGun1	GCA_011316645.1	687762	824613
Cynopterus brachyotis	lesser short-nosed fruit bat	58060	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Cynopterus	HLcynBra1	GCA_009793145.1	16627	251278
Damaliscus lunatus	topi	9929	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Damaliscus	HLdamLun1	GCA_006408505.1	38843	1166796
Dasyprocta punctata	punctate agouti	34846	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dasyproctidae; Dasyprocta	HLdasPun1	GCA_004363535.1	38650	43703
Dasypus novemcinctus	nine-banded armadillo	9361	Mammalia; Theria; Eutheria; Xenarthra; Cingulata; Dasypodidae; Dasypus	dasNov3	GCF_000208655.1	26277	1687935
Daubentonia madagascariensis	aye-aye	31869	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Chiromyiformes; Daubentoniidae; Daubentonia	HLdauMad1	GCA_004027145.1	298834	379919
Delphinapterus leucas	beluga whale	9749	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Delphinapterus	HLdelLeu2	GCA_002288925.3	196689	31183418
Delphinapterus leucas	beluga whale	9749	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Delphinapterus	HLdelLeu3	DNA Zoo Consortium	179643	107969763
Dicerorhinus sumatrensis sumatrensis	Sumatran rhinoceros	310712	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Dicerorhinus; Dicerorhinus sumatrensis	HLdicSum1	GCA_002844835.1	89455	614498
Diceros bicornis	black rhinoceros	9805	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Diceros	HLdicBic1	GCA_004027315.2	91002	14664201
Diceros bicornis minor	black rhinoceros	77932	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Diceros; Diceros bicornis	HLdicBicMin2	GCA_020826845.1	28468213	65026825
