gene,avg cluster stat sig,most stat sig cluster,#species in most sig cluster,least stat sig cluster,avg # species per cluster
ZNF276,0.338,0.1874,103,0.4604,116.5
ELF2,0.454,0.4164,50,0.4918,128.0
TRAK1,0.353,0.2907,104,0.4153,131.0
TTF2,0.323,0.1599,74,0.418,83.0
BAG1,0.436,0.3567,79,0.4973,114.75
ENC1,0.416,0.3641,90,0.4918,83.25
RFX6,0.473,0.4496,61,0.4973,121.0
ZKSCAN7,0.376,0.3242,84,0.4274,126.5
KLHL42,0.263,0.1258,51,0.3994,104.0
ZBTB20,0.376,0.3316,119,0.4194,137.0
ACTL6B,0.473,0.4463,35,0.5,113.0
PPHLN1,0.473,0.4684,203,0.4763,188.33333333333334
PEX2,0.362,0.2976,83,0.427,119.5
GMEB1,0.473,0.4463,38,0.5,116.0
SREBF1,0.337,0.2701,96,0.4048,130.5
LIN54,0.453,0.4084,26,0.4973,114.5
RNF138,0.468,0.4377,56,0.4973,121.5
RWDD3,0.471,0.4544,51,0.4879,123.0
ZNF730,0.415,0.3428,49,0.5,86.0
NPM1,0.486,0.4731,45,0.4946,152.75
NEUROD2,0.314,0.1188,31,0.4415,60.0
RELL2,0.291,0.1607,59,0.4211,115.5
ZFP42,0.374,0.2438,29,0.4792,64.5
GON4L,0.47,0.4357,44,0.4892,77.66666666666667
E2F5,0.392,0.2931,87,0.476,72.75
CREB1,0.459,0.4198,29,0.4973,118.0
STAT4,0.487,0.4745,55,0.5,121.0
SAFB,0.466,0.4638,77,0.469,111.5
ZNF396,0.493,0.4869,45,0.5,83.5
HAND2,0.459,0.3985,70,0.4889,62.25
ZNF235,0.459,0.3965,187,0.494,195.0
PHTF1,0.407,0.3323,58,0.4808,130.5
SYK,0.401,0.2325,74,0.4987,67.5
MED10,0.352,0.3439,112,0.3599,115.0
RIN3,0.458,0.437,62,0.4789,113.0
ZSCAN22,0.325,0.0476,1,0.4838,40.0
AXIN2,0.356,0.1855,68,0.5,54.0
CELF3,0.465,0.4366,31,0.4942,116.0
ZNF14,0.403,0.3481,27,0.4351,56.0
SP5,0.302,0.155,54,0.3776,75.66666666666667
TRIM4,0.401,0.3636,77,0.424,70.0
ZNF674,0.489,0.4832,76,0.5,57.25
TP53BP2,0.439,0.4128,96,0.4726,75.5
TSC22D1,0.388,0.131,54,0.5,158.75
ZNF483,0.347,0.2649,76,0.4291,119.0
TXN,0.46,0.4398,148,0.4726,117.66666666666667
NR4A3,0.49,0.485,87,0.4959,116.5
RFPL3,0.367,0.253,27,0.5,27.333333333333332
RAF1,0.437,0.3992,22,0.4688,85.33333333333333
FIZ1,0.328,0.1653,50,0.4458,52.75
ZNF773,0.438,0.4015,159,0.4919,169.5
TLE5,0.466,0.4417,131,0.4912,143.0
FRK,0.379,0.1786,33,0.5,53.4
MLXIP,0.483,0.4664,62,0.5,118.0
TBL1X,0.431,0.2615,64,0.5,98.25
EIF3K,0.479,0.4425,42,0.5,114.0
EEF1A1,0.49,0.4756,30,0.4973,118.0
CROCC,0.469,0.451,147,0.4809,83.0
TAF12,0.439,0.3389,23,0.4973,139.0
PLAG1,0.428,0.419,81,0.4377,126.5
ZNF439,0.431,0.417,123,0.4453,136.0
TRIM17,0.343,0.1711,27,0.4835,45.8
ZNF584,0.452,0.4061,141,0.4872,126.4
HELT,0.48,0.4688,191,0.4918,200.0
INSM1,0.354,0.3265,97,0.3822,94.5
ZNF280C,0.441,0.401,64,0.4811,128.0
ZMYM3,0.457,0.4176,43,0.4971,115.5
ANXA4,0.447,0.3937,50,0.5,117.0
CGGBP1,0.347,0.118,35,0.4843,57.2
CENPA,0.488,0.4762,53,0.5,119.0
CAPN15,0.304,0.1516,66,0.4689,59.0
ASH2L,0.484,0.4717,55,0.4972,125.0
SPIC,0.286,0.1277,42,0.4444,106.5
TERF2IP,0.47,0.4624,197,0.4785,191.5
NUP35,0.446,0.3915,33,0.5,114.5
SDR16C5,0.472,0.4667,165,0.4778,182.0
TADA2B,0.49,0.4793,59,0.5,83.5
ZAR1,0.3,0.1358,50,0.4225,73.0
PSEN1,0.454,0.4164,52,0.4918,124.0
TAF9B,0.482,0.4671,33,0.4973,112.5
CEP290,0.481,0.4677,51,0.4946,117.5
SAP30L,0.471,0.442,16,0.5,102.0
SKIDA1,0.428,0.3877,129,0.488,99.66666666666667
SCAPER,0.435,0.3937,45,0.4651,91.66666666666667
HNRNPC,0.444,0.3882,30,0.5,114.5
CENPX,0.403,0.3349,67,0.4907,88.5
LHX6,0.482,0.4671,76,0.4973,136.5
EPC1,0.474,0.4398,63,0.4945,101.4
ATXN7L3,0.455,0.4173,32,0.4932,115.0
PKNOX1,0.468,0.4445,42,0.4918,111.0
TADA1,0.427,0.359,30,0.4959,116.0
ZNF317,0.384,0.2478,40,0.4667,86.66666666666667
KBTBD7,0.389,0.3636,105,0.415,117.0
SUPT6H,0.474,0.4472,36,0.5,117.0
KMT2E,0.485,0.4763,20,0.4934,100.5
ZBTB46,0.383,0.2793,17,0.489,81.0
ZNF865,0.36,0.2764,70,0.474,67.33333333333333
ZHX1,0.302,0.0154,1,0.4225,65.0
CHCHD3,0.5,0.5,48,0.5,118.5
MEFV,0.453,0.3786,82,0.4888,105.6
SRSF2,0.412,0.4111,132,0.4138,119.0
ZBED1,0.285,0.0459,2,0.4731,39.0
CCNC,0.5,0.5,141,0.5,139.0
GABPB2,0.436,0.3959,51,0.4766,121.0
CERS5,0.426,0.3876,114,0.5,121.0
EID2,0.488,0.4788,118,0.497,91.0
TRIM32,0.458,0.4183,98,0.4847,87.33333333333333
NOTCH2,0.383,0.3041,2,0.4945,78.0
CCND1,0.491,0.4811,36,0.5,112.5
MSX1,0.492,0.4847,25,0.5,106.0
FOXJ2,0.418,0.3641,91,0.481,68.2
ARID4A,0.304,0.1255,31,0.4638,52.0
TCERG1L,0.49,0.4855,69,0.4947,110.0
IRX2,0.4,0.3208,20,0.4946,70.33333333333333
NCK1,0.486,0.4741,21,0.4986,115.0
ETV5,0.459,0.4236,26,0.4945,113.0
CTDP1,0.323,0.1305,46,0.5,80.25
GTF2H3,0.314,0.1567,62,0.4075,87.0
HOXC8,0.493,0.4889,149,0.4972,118.5
HOXB6,0.432,0.4022,80,0.463,87.0
HLA-DQB1,0.497,0.4945,178,0.5,168.0
YBX3,0.38,0.3157,111,0.442,92.33333333333333
NUP107,0.485,0.4776,64,0.493,121.5
CTH,0.415,0.35,46,0.4808,120.5
DDX17,0.418,0.3539,56,0.4823,122.0
MAP2K2,0.449,0.4431,80,0.4557,125.0
AUTS2,0.496,0.4917,177,0.5,132.5
TAF1C,0.331,0.1861,42,0.4756,69.25
MAML1,0.489,0.4785,55,0.5,117.0
NDUFA13,0.448,0.4225,206,0.4731,204.5
COMMD10,0.498,0.4973,186,0.4987,124.5
SIRT2,0.43,0.4146,182,0.445,182.0
ZC3HAV1,0.344,0.25,96,0.441,80.25
SEBOX,0.402,0.3084,29,0.4956,103.5
RNF103,0.373,0.2862,43,0.4589,113.5
CDX4,0.421,0.3506,19,0.4907,94.5
LMX1A,0.493,0.4865,37,0.5,117.5
BARHL1,0.245,0.0154,3,0.4463,72.66666666666667
TLX2,0.5,0.5,199,0.5,188.0
DYDC1,0.424,0.3514,27,0.4973,105.0
HIVEP2,0.365,0.3436,85,0.3915,88.33333333333333
ZNF441,0.334,0.0926,1,0.4454,88.5
MYT1L,0.468,0.4377,61,0.4973,118.5
TCF24,0.397,0.3515,62,0.4417,114.0
TUB,0.442,0.3989,164,0.4731,127.66666666666667
ERBB2,0.5,0.5,199,0.5,123.5
SOHLH2,0.325,0.2456,81,0.4048,118.0
HDAC4,0.323,0.1257,44,0.4713,76.33333333333333
TP73,0.452,0.4101,68,0.4943,132.0
HOXA11,0.344,0.2724,77,0.4048,76.66666666666667
VGLL2,0.281,0.1541,62,0.4073,108.0
DDX54,0.355,0.2999,92,0.4097,122.5
IER2,0.338,0.2608,68,0.4144,111.0
REXO4,0.327,0.1305,46,0.481,53.0
ZNF253,0.412,0.3265,57,0.5,115.0
PPARD,0.403,0.3095,43,0.4973,127.5
ZNF107,0.337,0.0277,1,0.5,51.5
CBX8,0.334,0.1534,61,0.4785,69.75
OTP,0.332,0.2202,65,0.4828,51.2
INO80E,0.494,0.4945,211,0.4945,212.0
MAX,0.454,0.3745,99,0.4945,168.0
COMMD9,0.464,0.4453,122,0.4808,106.0
PHF8,0.4,0.3528,62,0.4463,119.5
IFRD1,0.437,0.4005,72,0.4728,134.0
EDF1,0.436,0.4101,164,0.4576,136.33333333333334
BHLHA9,0.445,0.4159,69,0.4731,105.5
HMGXB4,0.342,0.1124,36,0.4816,65.0
TDG,0.362,0.3167,93,0.4111,78.5
BRDT,0.323,0.1343,44,0.4879,70.8
FOXN1,0.395,0.3619,99,0.4194,64.0
FAM171B,0.4,0.3718,77,0.4431,69.25
RAP2C,0.332,0.0087,2,0.4986,86.0
PRAMEF18,0.233,0.0126,1,0.4542,67.0
TFAP2B,0.322,0.1288,47,0.4385,56.6
HIPK3,0.358,0.2457,56,0.4463,63.75
MYCL,0.427,0.3968,158,0.4657,105.0
MBD3L4,0.469,0.4533,63,0.4854,82.0
NFKB2,0.444,0.3795,48,0.4852,80.33333333333333
ZNF558,0.468,0.4039,183,0.5,137.0
ZNF546,0.455,0.4463,127,0.4632,135.0
WAC,0.468,0.4377,109,0.4973,156.0
THRB,0.435,0.3731,38,0.4973,120.5
ZNF420,0.41,0.2648,47,0.4901,66.25
SUMO1,0.487,0.4811,36,0.4937,118.5
ZNF583,0.418,0.3629,190,0.4731,162.0
CIR1,0.498,0.4973,119,0.4987,121.0
KHDRBS1,0.399,0.3915,150,0.4075,151.5
TRIM10,0.454,0.4182,109,0.5,119.33333333333333
PAX7,0.378,0.2721,88,0.4783,86.8
PHF12,0.47,0.4671,98,0.4726,146.0
GTF2H2C,0.43,0.3758,45,0.4835,107.0
TAF15,0.383,0.0154,2,0.4987,93.0
ZIK1,0.47,0.4441,192,0.5,194.66666666666666
PRMT8,0.415,0.3673,95,0.4632,141.0
LMO7,0.421,0.368,80,0.4731,135.5
CBFB,0.469,0.4387,40,0.4843,129.33333333333334
TLE2,0.429,0.3937,176,0.4785,129.0
TFAM,0.423,0.3654,56,0.4808,123.0
HAX1,0.423,0.381,113,0.4644,158.0
ZNF774,0.463,0.4267,158,0.5,100.0
TFB1M,0.453,0.3758,27,0.4973,87.66666666666667
CDK11A,0.327,0.0097,1,0.4791,11.0
RAX,0.32,0.2437,67,0.397,101.0
MIER1,0.41,0.3439,71,0.4756,132.5
ZNF296,0.284,0.1592,79,0.4083,119.0
ZNF335,0.356,0.1751,68,0.4651,56.6
CENPF,0.22,0.0203,1,0.3162,20.5
HEXIM2,0.368,0.2947,20,0.4238,52.8
SRF,0.419,0.3823,65,0.4562,110.5
ZMYM4,0.332,0.0144,2,0.4986,79.0
ZNF280D,0.46,0.4501,185,0.4689,167.0
TNKS,0.472,0.3937,44,0.5,109.75
PRDM8,0.315,0.1903,31,0.4731,43.2
MED17,0.362,0.1244,35,0.5,96.75
ADAR,0.388,0.1987,28,0.4974,84.33333333333333
ZNF354C,0.328,0.1415,50,0.4959,48.8
ZNF232,0.312,0.1595,1,0.4949,25.0
GTF2A1L,0.341,0.1298,47,0.4756,85.0
ZNF391,0.351,0.2456,24,0.4562,87.5
CIAO1,0.454,0.4428,170,0.4645,123.5
FOXS1,0.296,0.1252,39,0.4671,110.0
CSRNP1,0.296,0.1456,56,0.4334,64.25
C1D,0.393,0.223,75,0.5,118.25
ZNF484,0.479,0.4734,163,0.4844,113.0
ZNF527,0.457,0.3836,166,0.4934,104.66666666666667
TRIOBP,0.4,0.3112,108,0.4812,101.75
TRIM3,0.425,0.2981,101,0.4945,119.8
SP2,0.391,0.3666,121,0.4157,124.0
UBE2O,0.489,0.4785,67,0.5,121.5
ZSCAN25,0.355,0.1419,10,0.4796,80.66666666666667
SMARCC1,0.48,0.4726,58,0.4849,93.66666666666667
UBE3A,0.338,0.2457,135,0.3989,108.66666666666667
ZNF181,0.381,0.1903,50,0.4791,91.75
BBS7,0.493,0.4865,39,0.5,116.5
ZBTB39,0.43,0.4236,158,0.4371,125.0
HESX1,0.404,0.3494,79,0.4442,141.33333333333334
GLI1,0.305,0.1855,58,0.4236,120.5
GLYR1,0.456,0.4182,57,0.4945,126.0
XIAP,0.483,0.4661,18,0.5,108.0
KIAA0040,0.333,0.1085,23,0.4544,80.5
POGK,0.314,0.1332,37,0.3915,67.0
RFX1,0.454,0.4304,53,0.4785,113.0
CREB3L1,0.495,0.4891,48,0.5,116.5
AHDC1,0.463,0.433,128,0.4939,112.0
DAB2,0.356,0.3474,94,0.3654,119.5
PPP2R1A,0.443,0.4398,130,0.4453,121.5
STAT3,0.482,0.4674,206,0.4973,199.5
E2F2,0.474,0.4485,43,0.5,115.0
PLK1,0.358,0.2711,41,0.4361,67.0
BAHD1,0.343,0.143,65,0.489,79.0
DVL1,0.499,0.4986,55,0.5,114.5
EZH1,0.38,0.2976,22,0.4674,62.4
HSBP1L1,0.382,0.3112,40,0.5,57.25
SAP18,0.475,0.4236,14,0.5,74.5
ZNF737,0.322,0.0379,1,0.5,63.5
SOX21,0.48,0.4717,29,0.4873,98.0
MYCBP,0.454,0.4102,16,0.4986,110.5
ZNF729,0.31,0.043,14,0.4707,33.333333333333336
PPRC1,0.439,0.316,18,0.5,143.33333333333334
BAZ1A,0.339,0.1344,49,0.4226,68.75
ERBIN,0.399,0.3989,155,0.3989,147.0
MAPK10,0.451,0.4198,146,0.4812,170.5
ZNF564,0.443,0.4222,109,0.4634,106.5
CLOCK,0.456,0.4164,51,0.4946,119.0
UHRF1,0.489,0.478,71,0.5,128.0
VHL,0.345,0.3185,115,0.3713,112.0
RBM5,0.481,0.4463,26,0.4987,147.0
PARP12,0.446,0.4106,60,0.4812,119.5
RNF144A,0.437,0.4145,76,0.4748,89.33333333333333
FEV,0.476,0.4612,28,0.4917,106.0
CITED1,0.405,0.3963,117,0.4146,124.0
DDIT3,0.417,0.3545,96,0.48,154.0
SOX7,0.37,0.1404,43,0.4662,52.4
KLF4,0.372,0.2299,74,0.4973,147.33333333333334
ZNF793,0.356,0.023,2,0.4855,61.25
FOXL3,0.328,0.2207,69,0.4973,50.4
MEF2C,0.452,0.4048,29,0.5,116.5
ZNF630,0.348,0.0379,1,0.5,33.6
TAF6L,0.293,0.1092,35,0.4064,76.33333333333333
PCSK6,0.486,0.4726,113,0.5,131.5
PER1,0.475,0.451,33,0.4986,112.5
MAF,0.42,0.3571,42,0.4821,90.0
PLXND1,0.462,0.443,69,0.4805,113.5
ELF5,0.394,0.3071,87,0.4661,133.0
CDYL,0.447,0.4084,63,0.4986,93.6
FUBP3,0.457,0.4251,67,0.4892,123.0
KHSRP,0.5,0.5,160,0.5,131.5
CREBZF,0.333,0.3291,129,0.3372,109.0
KDM4E,0.352,0.2071,20,0.4576,24.5
NKX6-2,0.309,0.225,56,0.3937,97.5
SLTM,0.434,0.3783,56,0.4905,122.5
APEX1,0.423,0.2663,19,0.4946,64.75
ANP32D,0.222,0.009,1,0.5,12.0
DDX1,0.452,0.4048,53,0.5,126.5
PSMC3IP,0.463,0.4357,106,0.4906,126.5
ZNF530,0.457,0.4429,173,0.4714,173.0
JUND,0.412,0.3801,79,0.4435,94.0
ZNF493,0.45,0.4074,101,0.5,126.33333333333333
PRPF6,0.446,0.3968,47,0.4945,117.5
SP140,0.263,0.0104,1,0.4547,34.5
ZNF664,0.298,0.0115,1,0.4943,75.33333333333333
LOXL2,0.466,0.4381,46,0.4946,121.0
TFAP4,0.482,0.4698,50,0.4945,120.5
NPAS3,0.437,0.3788,42,0.4957,110.5
BPTF,0.33,0.0144,3,0.5,104.0
ZSCAN32,0.367,0.1968,1,0.4853,16.0
KLF12,0.379,0.2565,6,0.4891,77.66666666666667
KAT5,0.424,0.3952,146,0.4756,117.5
NKAP,0.366,0.1402,41,0.4769,51.5
CD36,0.45,0.4111,77,0.4894,137.0
RIOX1,0.309,0.2245,64,0.3937,103.5
THAP5,0.392,0.3506,84,0.4334,119.5
PRDM1,0.359,0.2395,79,0.496,74.25
UBE2L3,0.442,0.3915,79,0.4794,118.0
OVOL1,0.489,0.48,60,0.4971,124.5
RIT2,0.443,0.3902,29,0.4961,90.0
DACT1,0.341,0.1466,51,0.4173,56.0
SNAPC4,0.313,0.1188,44,0.4805,81.33333333333333
GRHL3,0.406,0.316,107,0.4812,154.33333333333334
MYBL1,0.445,0.396,57,0.4932,126.0
PIK3R1,0.342,0.1529,36,0.4403,69.75
HOXA3,0.499,0.4972,171,0.5,166.0
KDM1A,0.463,0.4398,77,0.4863,131.5
ZNF398,0.468,0.4368,37,0.4987,114.0
ZNF225,0.464,0.4013,118,0.5,112.5
LGR4,0.477,0.4671,77,0.4863,125.0
ALX4,0.317,0.1583,55,0.4677,49.8
ZNF322,0.452,0.4173,12,0.4863,100.0
ZNF281,0.415,0.4084,83,0.4217,111.5
DUSP26,0.387,0.2905,72,0.4728,69.75
MEN1,0.469,0.4492,188,0.4915,135.66666666666666
HMGB2,0.462,0.4253,22,0.4986,112.5
RBPJ,0.486,0.4728,68,0.5,136.5
ZFYVE26,0.444,0.3937,39,0.4946,118.5
ZNF594,0.428,0.3217,16,0.5,28.0
CNBP,0.399,0.3196,36,0.4413,94.0
ZNF429,0.326,0.0459,2,0.4865,73.75
HELZ,0.483,0.4704,73,0.496,131.5
ZYX,0.406,0.3256,132,0.4852,113.25
MORF4L1,0.434,0.4285,173,0.439,177.0
TACC1,0.351,0.0368,36,0.4753,127.5
CASP8AP2,0.279,0.0926,2,0.4973,52.0
PRMT1,0.469,0.4485,199,0.4891,195.0
GTF2A2,0.409,0.3578,118,0.4597,128.5
DRGX,0.371,0.3138,90,0.4589,87.66666666666667
MYNN,0.472,0.4435,17,0.5,111.5
LARP7,0.399,0.3536,148,0.4861,105.66666666666667
LPIN2,0.455,0.4236,88,0.489,91.66666666666667
ZBTB1,0.264,0.0144,3,0.4217,64.25
SETDB1,0.411,0.3049,74,0.4888,65.5
RAG1,0.345,0.2184,62,0.4453,67.75
TOPORS,0.336,0.2739,24,0.3921,97.0
ZNF763,0.454,0.4404,146,0.4676,136.0
NANOGP8,0.272,0.0646,1,0.5,2.0
ZNF850,0.204,0.0001,1,0.5,17.0
MSANTD1,0.475,0.4657,191,0.4835,196.0
USP21,0.431,0.3822,34,0.4796,116.5
ZNF132,0.43,0.4055,130,0.4634,127.66666666666667
KDM5B,0.476,0.4379,122,0.4943,101.5
ZNF266,0.5,0.5,83,0.5,117.5
TULP3,0.424,0.3784,108,0.4589,118.33333333333333
NFKBIB,0.457,0.4176,59,0.4971,122.5
ARHGEF5,0.35,0.1327,52,0.4986,59.25
ZNF573,0.415,0.368,71,0.4731,77.2
RBL2,0.375,0.1349,51,0.4973,55.2
TBX3,0.285,0.1284,55,0.3673,78.33333333333333
STRN3,0.46,0.4442,88,0.476,135.5
ELOB,0.459,0.4337,149,0.4834,171.0
TAF6,0.358,0.3273,105,0.4263,103.0
PRAMEF33,0.22,0.0146,1,0.4257,43.5
ZNF705E,0.428,0.3877,113,0.4675,142.0
TONSL,0.297,0.1474,69,0.4401,63.25
PKIG,0.476,0.4726,200,0.4794,205.0
RAD21,0.427,0.4217,142,0.4324,129.5
CHMP1A,0.466,0.4429,178,0.4886,189.0
ZNF627,0.467,0.4429,173,0.4914,135.5
ZMAT5,0.487,0.4756,21,0.4986,111.0
BATF3,0.461,0.4251,54,0.4973,120.5
ZNF784,0.444,0.3937,32,0.4946,104.0
ZNF639,0.499,0.4973,200,0.5,105.5
GTF2E1,0.388,0.3125,6,0.4236,65.75
BOD1L1,0.28,0.178,65,0.4717,65.75
TAL2,0.404,0.2745,29,0.4986,66.25
RPS6KA5,0.462,0.4344,93,0.489,142.0
ZNF474,0.374,0.3153,95,0.4327,120.0
CCDC124,0.335,0.1251,42,0.5,60.0
ZNF683,0.336,0.1874,106,0.4805,73.25
TRIB3,0.426,0.4178,184,0.4352,173.0
ZNF813,0.363,0.3367,140,0.3893,156.0
ZNF720,0.491,0.4813,203,0.5,205.0
HSF5,0.495,0.4891,28,0.5,95.5
KMT5C,0.318,0.1479,52,0.4946,59.5
RFX8,0.407,0.3833,100,0.4304,134.5
SIX2,0.446,0.4182,89,0.4767,86.66666666666667
NLRP12,0.457,0.4262,54,0.4876,96.5
TFDP1,0.476,0.4517,47,0.5,113.5
SART3,0.407,0.3428,70,0.4717,121.0
WDR75,0.472,0.4453,44,0.4986,116.5
ZNF219,0.332,0.1607,56,0.4357,57.0
ZNF207,0.452,0.4102,32,0.4945,119.5
PRAMEF7,0.372,0.1744,60,0.494,124.33333333333333
KANK1,0.342,0.0177,1,0.4947,56.6
PIKFYVE,0.438,0.3937,52,0.4825,120.0
DLX5,0.491,0.4837,147,0.4973,122.0
BRIP1,0.494,0.488,79,0.5,126.0
MYO6,0.457,0.4164,63,0.4973,122.5
PHB2,0.436,0.3968,103,0.4835,77.0
MED22,0.395,0.3926,122,0.3979,124.0
CDK5R1,0.35,0.1818,82,0.4945,62.5
