gene type,max seq len,min seq len,mean seq len,median seq len,wmc similarity score,species represented
KAT7,1839,1404,1623.6889428918591,1615.5,0.21852,446
RNF6,2277,2052,2058.6958762886597,2055.0,0.23585,418
KLHL4,2292,2142,2160.0710059171597,2157.0,0.27936,369
LMX1A,1173,1143,1146.2468827930174,1146,0.33895,430
KDM6B,5199,4929,5029.477001703577,5049,0.17097,320
IL16,4107,3990,4009.1509615384616,4005.0,0.21501,382
USF2,1122,834,993.3842561707805,1038,0.20052,409
TAF15,1941,1329,1636.4058234758872,1776,0.19123,426
ZNF195,2274,1662,1832.7850338505782,1848,0.0897,360
NR2C2,1938,1782,1823.377030162413,1845.0,0.1998,432
ZNF70,1509,1332,1347.4973684210527,1344.0,0.18313,359
GATAD2B,1824,1728,1755.433868974042,1776,0.28674,438
ZNF558,1380,1197,1219.8946135831382,1215,0.14936,407
DNTTIP1,999,981,987.9948979591836,987.0,0.31122,425
FOXD2,1713,1479,1501.0190476190476,1491,0.17822,351
L3MBTL4,1908,1599,1777.1433823529412,1842.0,0.29742,299
CREBZF,1206,1062,1080.1101694915253,1074.0,0.18144,390
SOX18,1380,1149,1171.5794701986756,1161.0,0.21248,343
SORBS3,2112,2010,2025.885,2016.0,0.20323,433
RNF113B,1017,966,972.439024390244,969,0.0,40
PARK7,594,495,536.9885641677255,534,0.27657,425
HDAC9,3309,3027,3137.2480916030536,3169.5,0.2345,427
DMC1,1047,849,943.903345724907,1020,0.25389,433
ZBED6,3126,2937,2945.769230769231,2946,0.23106,405
NR5A2,1698,1404,1505.2714657415438,1485,0.1873,418
PLCB1,3684,3207,3417.438271604938,3414.0,0.17437,431
NCOA5,1890,1734,1741.2952853598015,1737,0.29518,439
ZNF292,8403,8163,8187.297331639136,8181,0.2392,431
SHOX2,1128,957,1010.5364928909953,996,0.19474,382
L3MBTL2,2190,2109,2119.773067331671,2118,0.21269,425
EGR1,1683,1626,1634.1237623762377,1632.0,0.2303,436
FOXD4,1707,1317,1397.2576530612246,1392.0,0.13676,389
RBPMS,732,654,668.206675224647,666,0.31126,427
SYK,1929,1827,1873.4738955823293,1854,0.24939,406
FOXC1,1887,1659,1688.320945945946,1674.0,0.2072,328
GTF2IRD2B,3525,318,2189.3453510436434,2847.0,0.17725,410
MAML3,3522,3408,3429.794117647059,3423.0,0.18244,402
NELFE,1272,1044,1129.233552631579,1140.0,0.16667,441
CERS6,1197,1149,1164.7357774968395,1173,0.32989,420
PYGO2,1419,1089,1162.87270501836,1113,0.22663,431
PLXNB1,6621,5853,6139.7171052631575,5910.0,0.21726,416
NACA,7875,642,2268.8489736070383,714.0,0.09967,432
ZCCHC12,1701,1194,1216.8672199170123,1209.0,0.20008,404
NCOA3,4380,4245,4286.309823677582,4281,0.18207,428
KDM1A,2727,2538,2592.818401937046,2577,0.1503,445
UBE2N,501,444,459.9024064171123,456.0,0.28183,412
LHX9,1212,960,1082.1423125794156,1107.0,0.21614,431
TAF13,381,369,372.6697674418605,372.0,0.32097,396
OAZ1,729,675,682.202380952381,684.0,0.24767,414
PPARGC1B,3261,2877,3021.3305889803673,3051,0.1207,425
ZNF705E,1092,891,921.526066350711,906.0,0.16236,366
RBSN,2574,2340,2360.0107238605897,2355,0.28192,403
HOXC11,1317,909,1024.866935483871,934.5,0.25309,407
ZSCAN1,1476,1221,1319.9166666666667,1290.0,0.20812,102
ZNF76,1734,1539,1627.9950920245399,1701,0.31508,442
ICE1,8088,6798,6880.216216216216,6852.0,0.11304,402
MED19,741,729,732.1860465116279,732,0.32516,419
NFKBIA,1008,792,891.4198473282443,951.0,0.2971,439
KRTAP5-9,870,507,601.1214953271028,585,0.13622,83
DMRTC2,1521,1101,1190.5684695051784,1164,0.16501,428
E2F6,921,615,741.1352992194276,750,0.17348,416
REPIN1,2190,1698,1797.0828729281768,1867.5,0.1863,392
ARID3C,1401,1233,1244.9025,1239.0,0.19601,429
BCAS3,2922,2733,2801.0300985988583,2793,0.19859,418
HNRNPCL2,918,858,882.9032258064516,879,0.31933,33
ZNF470,2265,303,651.0877390326209,327.0,0.2667,424
COMMD10,618,561,585.3695937090432,606,0.25944,413
SLC25A2,960,897,903.1578947368421,903,0.28692,385
MIDEAS,3552,3135,3249.425806451613,3297,0.16873,421
ATF4,1275,966,1029.573756432247,1056.0,0.16689,418
DDX1,2241,1968,2100.780022446689,2091,0.18461,441
ZNF777,2652,2487,2505.103151862464,2493,0.27332,383
SSH1,3396,2076,2472.1609498680737,2142,0.18076,420
DHX33,2181,2109,2123.021563342318,2121,0.27042,403
NUP107,2841,2679,2734.9364675984752,2766,0.18205,425
YBX3,1170,897,1032.3830703012914,1116,0.17486,424
ZNF350,2025,1593,1675.4424657534246,1620.0,0.14899,381
DDB2,1326,1083,1186.4490566037737,1110,0.25606,432
SP140L,1836,1557,1676.5030902348578,1683,0.13912,262
EBF1,1779,1551,1677.3352793994995,1683,0.26656,432
AKT2,1464,1308,1370.2860824742268,1350.0,0.24304,430
RAI1,6405,5178,5495.819178082192,5511.0,0.12318,407
PHOX2A,900,849,855.3718309859155,852,0.29691,391
TAF11,660,594,621.7221510883483,633,0.30169,423
ZNF705G,1050,891,921.5393900889453,906.0,0.17107,362
HOXC13,1041,978,992.7380281690141,990,0.28134,387
ZGPAT,1689,1506,1562.9076923076923,1545,0.16412,401
NR6A1,1479,1419,1434.3339517625232,1437,0.22433,437
ZNF74,2088,1830,1939.5284552845528,1929.0,0.12566,336
ZNF529,1818,1365,1523.7855297157623,1413,0.10967,338
THRA,1557,1224,1360.2623637887677,1359,0.31909,437
C1D,591,420,484.16873449131515,489.0,0.18046,431
EGR3,1323,1044,1105.0566502463055,1132.5,0.23608,437
TBX18,1899,1818,1836.0382653061224,1836.0,0.23789,422
LARP1,3126,3054,3066.601466992665,3066,0.17152,442
BCL10,738,663,687.4312267657992,699,0.28312,434
MAML1,3216,3039,3068.1282722513088,3060.0,0.14755,410
CERS4,1245,915,1049.5380173243504,1047,0.20302,395
CDC45,1854,1560,1691.1682163989856,1701,0.16347,434
WWC1,3414,3324,3354.923076923077,3357.0,0.28926,414
PLXNB3,5907,5727,5790.76933514247,5793,0.11125,393
BAZ1A,4719,4557,4624.941624365482,4662.0,0.25059,423
ZBED2,726,639,657.5098039215686,654.0,0.25088,322
SLC4A10,3495,3147,3279.9491183879095,3297,0.22131,422
ZNF296,1782,1350,1403.1068090787717,1425,0.13583,413
NCOA1,4359,3729,4180.556883116883,4323,0.23811,433
TGS1,2877,2559,2579.439393939394,2574.0,0.17436,423
PRAP1,543,426,467.0762195121951,465.0,0.17321,349
SSH3,2043,1971,1982.2670025188918,1980,0.23832,431
ZNF775,1965,1611,1641.9896907216496,1632,0.17718,318
DMRTC1B,729,570,623.2396694214876,624.0,0.11884,410
ZNF700,2433,2154,2233.3859649122805,2235.0,0.09253,237
TRIM8,1704,1647,1653.3188010899182,1653,0.34347,392
YBX1,1008,966,972.503937007874,972,0.33871,411
DTX2,1890,1569,1728.7951807228915,1725.0,0.22095,413
JPH2,2226,2085,2100.8345070422533,2097.0,0.25423,318
EBF3,1914,1647,1776.4244791666667,1788.0,0.30428,418
POLR2L,204,198,201.00911854103344,201,0.34672,354
MORF4L1,1152,801,974.4502617801047,972.0,0.18755,427
E2F4,1314,1239,1244.2814814814815,1242,0.29265,439
ARID3A,1944,1779,1824.483870967742,1824,0.15801,381
NOTO,816,753,784.2413793103449,789.0,0.17421,381
ZNF407,8553,4980,5765.3488372093025,5469,0.11145,429
AMOT,3570,1779,2432.5555555555557,2217.0,0.16491,427
RNF141,711,684,690.1645885286783,690,0.3345,433
PDCD4,1410,1365,1390.8365853658536,1395.0,0.25322,440
ATF6,2154,1731,1945.9454545454546,2010.0,0.17022,423
RNF2,1056,1002,1008.1705426356589,1008,0.34055,423
TRIM4,1593,1413,1466.2770398481973,1497,0.2127,287
ZNF793,1398,1215,1236.7901785714287,1221.0,0.173,325
ZRSR2,1650,1446,1466.0313253012048,1458,0.18931,409
BCL6B,1482,1434,1439.9097744360902,1437,0.30552,434
SP1,2949,2331,2351.3709677419356,2355.0,0.12428,402
DRAP1,666,537,602.5567612687813,615.0,0.23163,430
BNC1,3273,2943,2977.088122605364,2982,0.16993,425
MSX2,840,795,802.2757731958762,801.0,0.31136,418
ZNF862,3579,3498,3515.3351800554015,3510,0.24389,375
INO80B,1101,1062,1069.740932642487,1068.0,0.31721,413
SETD7,1146,1077,1095.6313775510205,1098.0,0.30953,428
E2F8,2727,2601,2605.5365853658536,2601.0,0.28835,438
TFAP2B,1392,1377,1380.015306122449,1380.0,0.35272,424
ZNF888,2697,2136,2191.6325796505653,2169.0,0.10442,264
RNF138,750,729,735.3007712082263,735,0.34335,418
KMT5B,2763,1107,1521.2938240798503,1182,0.26825,444
SQSTM1,1383,1059,1176.4360770577935,1134.0,0.20167,415
VSX1,1146,900,1009.1955223880597,1095.0,0.22831,367
PRKCZ,1293,1224,1228.8852459016393,1227.0,0.27184,379
RFX3,2286,2106,2183.4602977667496,2172.0,0.33803,436
EPC2,2433,2409,2421.315,2421.0,0.34513,430
SNAPC4,4860,4407,4492.196765498652,4476,0.15286,399
HINFP,1632,1254,1418.2472324723246,1347,0.26251,446
SMARCB1,1233,1011,1120.48847631242,1132.5,0.21596,428
EDF1,489,411,433.36270316509837,429,0.30224,432
RPS6KA4,2418,2289,2309.364,2316.0,0.27535,401
RNF10,2538,2421,2445.277435265105,2448,0.23523,435
LYAR,1206,1137,1167.6352040816328,1167.0,0.24213,425
DBX1,1161,1023,1037.5271317829458,1032,0.24159,416
ZNF525,1740,1323,1417.8221498371336,1437.0,0.08558,419
ISL1,1107,972,1013.2576530612245,1044.0,0.31808,430
MED17,1995,1809,1911.2086513994911,1953,0.2996,424
ZNF177,1581,951,1261.7378854625551,1446.0,0.12582,351
THAP2,738,678,685.2468513853904,684,0.32049,422
ZNF92,2103,1506,1649.401161256268,1626,0.08588,295
ZNF550,1476,1140,1171.2734026745914,1161,0.0839,375
ZNFX1,5826,5748,5758.879895561357,5757,0.22122,411
MTOR,7701,7632,7649.307125307126,7647,0.30767,435
SAP30,705,654,664.1705202312139,663.0,0.2217,380
FOXP3,1599,1179,1302.0676093680954,1314,0.14389,426
SOX10,1578,1392,1406.1108033240998,1404,0.16776,392
HSF2BP,1032,996,1003.5358090185676,1002,0.29766,401
ZNF205,2076,1662,1673.5725593667546,1668,0.18782,404
HDAC1,1464,1440,1446.1488833746898,1446,0.34606,436
WWP1,2829,2748,2768.044776119403,2766.0,0.29188,428
ZNF622,1506,1428,1435.6753246753246,1434,0.24077,400
NCOR1,7500,2736,6032.237642585551,7035.0,0.15903,441
PRDM2,5301,4443,4894.842818428185,5052,0.16541,403
ZNF860,2004,1893,1921.3846153846155,1905,0.0,10
ZNF496,1836,1752,1766.8678414096917,1764,0.25729,389
HMGA1,336,285,305.1,313.5,0.28871,439
KMT2E,6135,5568,5587.508333333333,5580.0,0.26188,389
CD36,1440,1173,1285.124002128792,1260,0.20554,428
TAF1D,900,834,854.6547314578005,855,0.17733,416
ALX4,1317,1218,1239.8272980501392,1236,0.23153,380
LEF1,1233,903,1093.8003731343283,1122.0,0.22048,444
RFX1,3057,2925,2943.6784741144415,2940,0.21324,397
DDX54,2727,2640,2654.1472868217056,2649.0,0.27924,418
BCOR,6228,4977,5178.207581891793,5178,0.18214,401
PLRG1,1593,1515,1535.146551724138,1542.0,0.17963,438
TRIM6,1773,1377,1482.3228782287822,1464.0,0.13311,415
ANHX,1554,1104,1297.123943661972,1206.0,0.22566,355
ZNF329,1725,1617,1638.2579185520362,1635.0,0.1289,385
AKIRIN1,600,567,577.1260504201681,576,0.2907,385
ATF7IP,4191,3309,3722.396129032258,3822.0,0.13852,421
ZNF791,2022,1719,1777.9840446749104,1758,0.11147,371
TFEC,1116,837,947.829694323144,954,0.15422,444
PTTG1IP,561,315,453.017199017199,480,0.19241,413
NOC4L,1581,1545,1549.3385826771653,1548,0.29097,412
ASXL1,5064,4440,4600.7504725897925,4629,0.0952,431
HSF4,1626,1383,1440.5075187969924,1476.0,0.22019,433
HDAC10,2112,1851,1957.1616161616162,1971.0,0.19605,423
SP3,2418,2133,2226.8327759197323,2181.0,0.15216,428
RXRA,1446,1302,1356.7938718662954,1323.0,0.23238,399
AGO1,2721,2337,2529.9135702746366,2571.0,0.27426,446
SCML1,1167,624,876.9367816091954,945.0,0.08366,377
NAIF1,993,978,981.2644836272041,981,0.33673,425
NUFIP1,1557,1482,1492.3168831168832,1488,0.24719,416
FOXP1,2193,1467,1907.1107800175284,2028,0.1516,447
HIF1A,2607,2199,2432.004366812227,2481,0.19434,434
PPP3R1,651,474,520.3599033816425,510.0,0.17438,441
FOXJ2,1785,1569,1656.879245283019,1722,0.26948,436
SOX12,1104,930,948.4229508196721,945,0.26276,343
WAC,1977,1464,1734.7496229260935,1806,0.17396,443
ZNF655,1758,1461,1555.2956081081081,1558.5,0.13795,399
ZNF207,1551,1386,1458.3522561863174,1479,0.17504,442
HDAC3,1308,1281,1284.0652173913043,1284.0,0.34778,447
CTDSP1,822,777,783.2496798975673,783,0.28991,421
ZFPM1,3816,3012,3159.2464285714286,3141.0,0.1258,318
ZNF620,1497,1260,1289.8471177944862,1284,0.102,270
UBE2L3,696,459,550.1140583554377,462.0,0.18813,434
HNRNPUL1,2688,2253,2360.5147241808377,2307,0.12977,438
FAM189B,2112,1710,1894.6642533936651,1950,0.17979,405
FGFR1,2748,2178,2397.428823875908,2457,0.13975,440
ZFP14,1815,1593,1621.7474226804125,1605.0,0.16009,388
GTF2B,954,945,948.0888888888888,948,0.34668,432
UBE2B,456,450,455.970223325062,456,0.363,432
BRMS1,963,735,811.4019728729963,762,0.27774,439
LHX5,1215,1203,1206.2167630057804,1206.0,0.34658,377
GSC2,693,600,619.6039603960396,615,0.24216,333
ZNF527,2043,1821,1847.6846511627907,1839,0.13641,368
PPP2R1A,1812,1758,1767.2532981530344,1767,0.34205,409
ZNF175,2364,2124,2160.595006934813,2148,0.18052,355
MED15,2469,2031,2221.1909650924026,2244,0.1536,397
ZNF100,1962,1422,1603.4182087342708,1635.0,0.0984,356
ZNF552,1512,1215,1253.9944444444445,1233.0,0.13121,327
ZNF90,2130,1788,1829.3068035943518,1810.5,0.14888,158
RGS6,1719,1248,1413.4636091724826,1419.0,0.20972,440
LBH,399,261,304.1209610604805,315,0.18048,431
ELK4,1311,1209,1257.9259259259259,1270.5,0.25578,435
UNKL,2289,2040,2127.930612244898,2133,0.25063,409
LHX3,1245,1146,1191.6546438232642,1203,0.16901,403
TCF7L1,1869,1758,1768.632707774799,1767,0.24597,403
RNF14,1455,1416,1422.8454882571075,1422,0.32094,435
MED13,6561,6501,6523.474074074074,6522,0.30576,428
MYOD1,1116,954,961.7076923076924,960.0,0.28461,417
PHF1,1758,1359,1537.122249388753,1402.5,0.30173,440
ZNF521,5580,3267,3603.9003783102144,3294,0.18631,433
ZNF554,1803,1611,1649.0546218487395,1641.0,0.10617,237
THAP6,678,537,602.8030095759234,543,0.30943,395
ZNF106,5850,5634,5690.430904522613,5718.0,0.15931,427
H2AZ1,423,378,383.7417721518987,384.0,0.25421,416
ELANE,837,798,804.430985915493,804,0.25701,385
RELB,1785,1722,1743.8789279112755,1743.0,0.15936,399
SOX14,747,708,720.014888337469,720,0.34636,435
TBX10,1287,1122,1158.0942408376964,1155.0,0.26879,408
FOXM1,2490,2241,2303.28222075347,2286,0.18828,411
HDAC5,3504,3090,3312.0305927342256,3372,0.19426,434
ADRB2,1284,1239,1253.560411311054,1254,0.31746,418
ZNF653,1902,1842,1856.5419847328244,1854,0.25131,422
ZNF626,1932,1572,1640.3503480278423,1632,0.13532,234
BRDT,2955,2619,2776.4933248569614,2793,0.13422,424
ZNF274,2265,1641,1849.6785960082589,1866,0.10331,389
ZCCHC18,1707,1194,1220.9940239043824,1212.0,0.19789,390
PRDM6,1845,1779,1797.0357142857142,1794.0,0.1637,370
ZNF708,1947,1683,1719.6064880112835,1707,0.13601,239
MYCL,1260,1089,1141.68,1170.0,0.22209,430
TRIP6,1515,1425,1444.037037037037,1446,0.20689,434
RXRG,1401,1386,1389.7769230769231,1389.0,0.32712,412
HSF2,1644,1548,1582.0860759493671,1587.0,0.31108,428
SP5,1320,1182,1198.3462603878115,1197,0.25708,392
MEIS2,1488,1137,1248.2834914611005,1185,0.2426,434
RPRD1B,984,975,978.0527638190955,978.0,0.35548,433
RAG1,3705,3129,3133.0827067669175,3129,0.23353,431
SETD3,1974,1779,1789.0682926829268,1785.0,0.30115,441
ZNF490,1815,1578,1614.1783783783783,1596,0.15401,198
PLAG1,1743,1248,1378.2233009708739,1495.5,0.22244,444
ZNF813,2274,1836,1883.872138910813,1866.0,0.10564,362
CCNA2,1362,1290,1299.7555012224939,1296,0.24819,436
PHF21A,2112,1896,2003.3659539473683,2043.0,0.25893,435
HINT1,429,303,349.99705449189986,378,0.2713,373
SS18L2,324,225,231.94285714285715,231,0.2465,400
PRAMEF33,1629,1416,1460.5432098765432,1455.0,0.13446,127
KMT2C,15240,14148,14701.38756855576,14781.0,0.11756,423
TAF1B,1797,168,1082.560975609756,1767,0.26021,434
ILK,1521,1170,1328.093023255814,1356,0.21636,444
KLHL8,1887,1629,1746.4323640960808,1668,0.25685,430
RFX7,4458,3840,4160.456090651558,4095.0,0.17136,392
MECOM,4056,3006,3315.720126894607,3156,0.16803,444
ATXN7L3,1074,1038,1051.9170731707318,1056.0,0.30057,446
HDAC7,3159,2847,2938.7704918032787,2922,0.12918,439
EDRF1,3774,3600,3669.3731527093596,3687.0,0.23703,437
SNX6,1323,1209,1238.2423076923078,1251.0,0.19732,412
WIZ,6246,5097,5432.911311053985,5667.0,0.1465,421
ZNF624,2784,2589,2607.0641711229946,2598.0,0.17488,342
ZNF276,1962,1293,1601.425366695427,1620,0.152,436
MID1,2004,1608,1767.2513966480446,1656.0,0.30819,411
TCERG1L,1806,1755,1772.3602305475504,1770,0.16355,372
PRDM4,2436,2394,2403.816062176166,2403.0,0.33039,418
GFI1B,1170,852,1011.2510930668333,1056,0.20923,434
HMX2,978,816,822.262599469496,819,0.25148,409
SNAPC2,1305,1002,1040.2290076335878,1029,0.18587,421
ELL3,1251,1188,1198.2028985507247,1197.0,0.23237,447
LHX1,1260,1215,1218.1439393939395,1218.0,0.33969,426
DNM2,2628,2583,2606.504709965295,2610,0.3018,421
ZSCAN9,1407,1176,1262.0365384615384,1206.0,0.18956,226
FAM171B,2607,2475,2480.518134715026,2478.0,0.29063,410
MED11,375,348,351.07371007371006,351,0.3209,435
THAP4,2082,1728,1740.405172413793,1734.0,0.1945,380
ZNF556,1533,1356,1397.7688113413303,1395,0.09314,254
CC2D1A,2967,2838,2860.990099009901,2856.0,0.23029,434
INO80D,3207,3072,3089.2809278350514,3085.5,0.22352,419
KRTAP5-1,1011,834,897.3673469387755,894,0.0,52
ZNF492,1854,1578,1615.8544423440453,1605.0,0.11943,348
ACTR5,1863,1818,1834.515873015873,1845.0,0.2437,411
RBCK1,1554,1395,1467.699363057325,1425,0.25187,428
TFAP2D,1368,1350,1356.1168831168832,1356,0.35328,414
KMT2A,13161,11769,11897.43848857645,11916.0,0.14408,418
MACF1,24375,22158,22579.096858638743,22692.0,0.11849,414
MGA,9357,8574,8812.934455270151,8592,0.1829,425
RNF8,1524,1341,1408.3045112781954,1405.5,0.26705,429
PHIP,5547,5442,5467.358910891089,5466.0,0.30286,431
ZMIZ1,3339,2913,3080.984867591425,3195,0.18456,441
RFX5,2139,1842,1873.194756554307,1857,0.21638,438
ZNF358,1893,1704,1726.6849315068494,1728,0.20669,398
MYCN,1500,1392,1401.2641509433963,1398.0,0.23111,348
ARNT,2433,2316,2349.951762523191,2364,0.19088,434
TRIP4,1788,1737,1744.5561097256857,1743,0.31175,427
FBXO5,1392,1197,1277.1586715867159,1233,0.16175,440
DEPDC1B,1617,1359,1494.6953642384105,1566,0.32417,411
ABRA,1224,1143,1147.3308270676691,1143,0.2421,431
SP7,1383,1233,1267.2596273291927,1290,0.23376,437
AHDC1,6777,4806,4820.763157894737,4809.0,0.17909,375
RAN,717,648,673.7102425876011,666.0,0.28872,394
SENP1,1980,1926,1934.5488997555012,1935.0,0.28317,440
CUL2,2373,2109,2232.460815047022,2271,0.18202,429
SCX,705,588,611.0732484076433,609.0,0.22428,354
MED7,870,696,699.4342105263158,699.0,0.28358,409
PKN1,2901,2823,2843.3582677165355,2847.0,0.17761,415
ZNF219,2529,2160,2177.7150395778363,2166,0.22057,409
UBE2D2,468,351,413.498023715415,441.0,0.22641,438
GPATCH8,5655,4506,4531.39896373057,4521.0,0.19414,417
EIF2AK2,1716,1479,1597.2756119673618,1623.0,0.15652,419
PSMD11,1269,1260,1265.9632352941176,1266.0,0.35609,442
RTF1,2175,2124,2135.7066014669927,2130,0.20987,437
ZFP69B,1830,1596,1625.656146179402,1614.0,0.16164,256
ZBTB18,1812,1560,1581.7443890274315,1593.0,0.23132,433
DYRK1B,2031,1758,1821.370528109029,1803.0,0.26776,425
CSDC2,465,456,459.39694656488547,459,0.31298,421
SKAP1,1134,1077,1097.2109181141439,1095,0.18169,431
TAF6,2310,2028,2134.5629194630874,2148.0,0.14315,434
LCORL,5952,1548,2985.188127090301,1806.0,0.1831,441
NR2E3,1314,1098,1186.4178343949045,1227,0.19909,431
ZIC3,1455,1368,1387.820979020979,1401,0.2866,389
ZNF181,2238,1701,1762.9215189873419,1716,0.11984,345
CPEB1,1962,1452,1678.9329993738259,1692.0,0.13264,438
PXN,3459,1668,2055.045615813482,1773,0.15993,435
PCBP4,1236,969,1091.1745635910224,1080,0.28111,442
PHF19,1845,1734,1770.5056603773585,1770,0.2141,430
DGKQ,2964,2823,2847.590163934426,2841.0,0.15469,398
GTF2A2,330,324,326.9310344827586,327,0.34507,436
FHL3,864,837,842.4162561576354,840.0,0.32614,441
TIMELESS,3735,3624,3649.2306733167084,3642.0,0.25721,432
VGLL3,1017,957,979.8707224334601,981,0.2424,428
FLI1,1365,1155,1257.3609958506224,1257,0.20714,429
TGFB1,1281,1104,1147.2727272727273,1170,0.23909,393
NEUROD6,1035,1008,1011.0880195599022,1011,0.34765,442
RAPGEF3,2808,1785,2420.9473023839396,2634.0,0.20506,444
CCDC62,2157,1335,1750.6227959697733,1575.0,0.17522,432
ZNF462,7674,7518,7529.446685878963,7527,0.23923,371
ZNF417,2334,1713,1752.8898654215875,1737,0.08841,374
TLX2,873,699,800.7780938833571,852,0.23216,420
STK3,1602,1467,1514.937984496124,1479.0,0.25748,421
CCDC17,2079,321,1392.3856773080242,1875,0.12829,434
KCNH8,3336,3318,3325.6511627906975,3324,0.26892,413
ING1,1326,696,879.1833171677982,837,0.17277,438
TLE4,2463,2109,2276.244498777506,2316.0,0.20266,442
ZNF488,1077,696,872.8897637795276,804.0,0.12818,407
